ID_DEMO,group
140841986,ml_group
100017299,ml_group
300128880,ml_group
140666455,ml_group
530292392,ml_group
330239994,ml_group
400280510,ml_group
800254979,ml_group
140413243,ml_group
330235467,ml_group
600512440,ml_group
140668246,ml_group
140013496,ml_group
140410961,ml_group
100078701,ml_group
830305785,ml_group
200043601,ml_group
700531747,ml_group
730064329,ml_group
800024261,ml_group
300231040,ml_group
600063511,ml_group
630260092,ml_group
600092116,ml_group
200055715,ml_group
630002917,ml_group
140206160,ml_group
730207157,ml_group
140667150,ml_group
600408598,ml_group
140182736,ml_group
140713126,ml_group
140429103,ml_group
330059071,ml_group
730347457,ml_group
140084006,ml_group
140379410,ml_group
400497237,ml_group
330158451,ml_group
330322962,ml_group
700080844,ml_group
140279495,ml_group
430048382,ml_group
140681587,ml_group
230278059,ml_group
140645042,ml_group
430246203,ml_group
400519796,ml_group
500267581,ml_group
200451541,ml_group
700110199,ml_group
830024853,ml_group
140225062,ml_group
400049484,ml_group
140853526,ml_group
140602921,ml_group
140686401,ml_group
200011254,ml_group
300208197,ml_group
630024608,ml_group
400503361,ml_group
140406330,ml_group
140665872,ml_group
230025490,ml_group
400106685,ml_group
100441790,ml_group
800551687,ml_group
140291591,ml_group
300030440,ml_group
700070345,ml_group
140297260,ml_group
430061705,ml_group
330162060,ml_group
230381740,ml_group
630167272,ml_group
140345399,ml_group
400481302,ml_group
140703273,ml_group
140816378,ml_group
140187943,ml_group
730076080,ml_group
700533959,ml_group
300097797,ml_group
700174246,ml_group
630433180,ml_group
140669766,ml_group
700525503,ml_group
800494552,ml_group
300107536,ml_group
730214577,ml_group
700140560,ml_group
730052571,ml_group
300047166,ml_group
800560021,ml_group
230042621,ml_group
800074605,ml_group
140803698,ml_group
140348939,ml_group
140246191,ml_group
400061053,ml_group
100529080,ml_group
300574193,ml_group
140301486,ml_group
200138174,ml_group
400085063,ml_group
130054831,ml_group
140290082,ml_group
300042736,ml_group
400066230,ml_group
730176171,ml_group
140839529,ml_group
700131478,ml_group
140354729,ml_group
130001745,ml_group
630240328,ml_group
140667237,ml_group
140667543,ml_group
200135874,ml_group
400557257,ml_group
140006433,ml_group
140038319,ml_group
100118960,ml_group
830150840,ml_group
140418508,ml_group
140241033,ml_group
200547839,ml_group
530108881,ml_group
140677210,ml_group
100023943,ml_group
200039309,ml_group
230177278,ml_group
700548664,ml_group
230021553,ml_group
300074622,ml_group
730286479,ml_group
800136567,ml_group
140667757,ml_group
140678461,ml_group
100112252,ml_group
100130387,ml_group
300028449,ml_group
530303328,ml_group
600113200,ml_group
200008565,ml_group
800108223,ml_group
700105541,ml_group
140856483,ml_group
600077188,ml_group
130342149,ml_group
140716040,ml_group
530077164,ml_group
400007469,ml_group
600495251,ml_group
700511913,ml_group
140449358,ml_group
500067949,ml_group
230320980,ml_group
500119919,ml_group
300041362,ml_group
130259487,ml_group
700080387,ml_group
140672206,ml_group
140717634,ml_group
140710909,ml_group
400052766,ml_group
200568312,ml_group
140325644,ml_group
140487052,ml_group
140176395,ml_group
600069465,ml_group
700456093,ml_group
140667275,ml_group
140667579,ml_group
700465837,ml_group
130243686,ml_group
700052028,ml_group
140630275,ml_group
140418861,ml_group
300409615,ml_group
140443467,ml_group
530159437,ml_group
100038893,ml_group
140207376,ml_group
630052291,ml_group
600021000,ml_group
100033920,ml_group
100195850,ml_group
200534559,ml_group
400028529,ml_group
400140374,ml_group
140318257,ml_group
140322988,ml_group
140700686,ml_group
140616405,ml_group
140086502,ml_group
700097213,ml_group
140166150,ml_group
330234545,ml_group
200004793,ml_group
330119413,ml_group
830346585,ml_group
200534461,ml_group
300049880,ml_group
300411660,ml_group
530040913,ml_group
500433251,ml_group
140667236,ml_group
200525871,ml_group
100134869,ml_group
230255384,ml_group
630308288,ml_group
140684136,ml_group
400412253,ml_group
140065962,ml_group
140220738,ml_group
140009448,ml_group
800050777,ml_group
330065754,ml_group
230294225,ml_group
330222282,ml_group
200098872,ml_group
200524623,ml_group
500571970,ml_group
700082896,ml_group
140017107,ml_group
140119586,ml_group
140591618,ml_group
500093988,ml_group
400100552,ml_group
500107766,ml_group
500302972,ml_group
700098436,ml_group
230189121,ml_group
140807661,ml_group
800407230,ml_group
730133174,ml_group
700425677,ml_group
140174301,ml_group
140681502,ml_group
530148423,ml_group
530264164,ml_group
300089625,ml_group
140658939,ml_group
140696193,ml_group
700060673,ml_group
630037257,ml_group
230160408,ml_group
630229043,ml_group
140667509,ml_group
140237111,ml_group
700485870,ml_group
140285912,ml_group
140475207,ml_group
140574889,ml_group
730003548,ml_group
300085663,ml_group
430092967,ml_group
530029635,ml_group
100228766,ml_group
400536930,ml_group
700547821,ml_group
730185770,ml_group
200506314,ml_group
730138011,ml_group
700130794,ml_group
830159903,ml_group
700114386,ml_group
700228014,ml_group
500115645,ml_group
400037556,ml_group
140662980,ml_group
140668243,ml_group
140129321,ml_group
700037720,ml_group
140603388,ml_group
800429515,ml_group
140843496,ml_group
